"","date","industry","location","monthly_amount"
"127",2015-09-01,"3","1",638832.757002
"128",2015-10-01,"3","1",726369.053690494
"129",2015-11-01,"3","1",714684.866713176
"130",2015-12-01,"3","1",832032.395201429
"131",2016-01-01,"3","1",705507.816834235
"132",2016-02-01,"3","1",679622.309648864
"133",2016-03-01,"3","1",696956.922202667
"134",2016-04-01,"3","1",727647.064188172
"135",2016-05-01,"3","1",690063.647483789
"136",2016-06-01,"3","1",705538.379533125
"137",2016-07-01,"3","1",720028.656773579
"138",2016-08-01,"3","1",727269.191477717
"139",2016-09-01,"3","1",780567.514278191
"140",2016-10-01,"3","1",814869.070292525
"141",2016-11-01,"3","1",853822.068487525
"142",2013-01-01,"4","1",225392.171388947
"143",2013-02-01,"4","1",236221.753757895
"144",2013-03-01,"4","1",236178.060911053
"145",2013-04-01,"4","1",283587.238294737
"146",2013-05-01,"4","1",280761.226294737
"147",2013-06-01,"4","1",252228.886821053
"148",2013-07-01,"4","1",264746.987642105
"149",2013-08-01,"4","1",260837.626999474
"150",2013-09-01,"4","1",264932.004638889
"151",2013-10-01,"4","1",264316.207183333
"152",2013-11-01,"4","1",247531.60278
"153",2013-12-01,"4","1",335867.415464444
"154",2014-01-01,"4","1",261884.419835294
"155",2014-02-01,"4","1",265781.122777059
"156",2014-03-01,"4","1",293111.555976471
"157",2014-04-01,"4","1",265795.932670588
"158",2014-05-01,"4","1",306038.93331875
"159",2014-06-01,"4","1",278388.414525
"160",2014-07-01,"4","1",273495.357057222
"161",2014-08-01,"4","1",364298.410311765
"162",2014-09-01,"4","1",374918.023429412
"163",2014-10-01,"4","1",377994.5786
"164",2014-11-01,"4","1",342102.237045
"165",2014-12-01,"4","1",394855.097488889
"166",2015-01-01,"4","1",337546.816761111
"167",2015-02-01,"4","1",374309.415427778
"168",2015-03-01,"4","1",400586.615616667
"169",2015-04-01,"4","1",383594.29015
"170",2015-05-01,"4","1",429977.516833333
"171",2015-06-01,"4","1",385873.289288889
"172",2015-07-01,"4","1",406570.029952632
"173",2015-08-01,"4","1",415665.196633333
"174",2015-09-01,"4","1",396814.287472222
"175",2015-10-01,"4","1",399839.823438889
"176",2015-11-01,"4","1",438457.196405556
"177",2015-12-01,"4","1",466184.847428333
"178",2016-01-01,"4","1",390019.307894444
"179",2016-02-01,"4","1",385687.934712778
"180",2016-03-01,"4","1",400514.369236842
"181",2016-04-01,"4","1",378603.10925
"182",2016-05-01,"4","1",419256.263671765
"183",2016-06-01,"4","1",377992.387148235
"184",2016-07-01,"4","1",383776.920435
"185",2016-08-01,"4","1",440455.856815
"186",2016-09-01,"4","1",400911.939158125
"187",2016-10-01,"4","1",395847.586875625
"188",2016-11-01,"4","1",405416.47452625
"189",2013-01-01,"5","1",594210.55884
"190",2013-02-01,"5","1",599832.370595455
"191",2013-03-01,"5","1",666021.737522727
"192",2013-04-01,"5","1",651782.148348182
"193",2013-05-01,"5","1",681541.962670909
"194",2013-06-01,"5","1",640072.870938182
"195",2013-07-01,"5","1",667523.766964545
"196",2013-08-01,"5","1",686144.778846667
"197",2013-09-01,"5","1",651966.515668462
"198",2013-10-01,"5","1",676950.897363077
"199",2013-11-01,"5","1",687695.302615385
"200",2013-12-01,"5","1",705442.493792308
"201",2014-01-01,"5","1",625447.4465
"202",2014-02-01,"5","1",627055.607176923
"203",2014-03-01,"5","1",709560.699361539
"204",2014-04-01,"5","1",668832.414261538
"205",2014-05-01,"5","1",729662.323561538
"206",2014-06-01,"5","1",654345.610721429
"207",2014-07-01,"5","1",586833.74853125
"208",2014-08-01,"5","1",534317.853726667
"209",2014-09-01,"5","1",667626.61064
"210",2014-10-01,"5","1",486399.519128571
"211",2014-11-01,"5","1",507734.205684
"212",2014-12-01,"5","1",570242.20633125
"213",2015-01-01,"5","1",519205.44338
"214",2015-02-01,"5","1",534429.151993333
"215",2015-03-01,"5","1",558566.052095882
"216",2015-04-01,"5","1",549674.349511765
"217",2015-05-01,"5","1",600338.638575
"218",2015-06-01,"5","1",572751.603290625
"219",2015-07-01,"5","1",638858.71578
"220",2015-08-01,"5","1",698213.288007143
"221",2015-09-01,"5","1",667906.62888
"222",2015-10-01,"5","1",695476.99588
"223",2015-11-01,"5","1",692440.784186667
"224",2015-12-01,"5","1",721952.791126667
"225",2016-01-01,"5","1",610696.304446667
"226",2016-02-01,"5","1",661484.029493333
"227",2016-03-01,"5","1",721411.2453
"228",2016-04-01,"5","1",725453.53738125
"229",2016-05-01,"5","1",757697.9602875
"230",2016-06-01,"5","1",721277.08035
"231",2016-07-01,"5","1",686415.9445
"232",2016-08-01,"5","1",727524.36215
"233",2016-09-01,"5","1",668842.520988889
"234",2016-10-01,"5","1",633081.317221053
"235",2016-11-01,"5","1",615304.9572755
"236",2013-01-01,"6","1",22275239.38672
"237",2013-02-01,"6","1",18357462.33736
"238",2013-03-01,"6","1",21865386.35718
"239",2013-04-01,"6","1",21565533.78934
"240",2013-05-01,"6","1",22374034.1057
"241",2013-06-01,"6","1",24337420.1809
"242",2013-07-01,"6","1",26165409.36308
"243",2013-08-01,"6","1",21955778.81565
"244",2013-09-01,"6","1",23139375.1805833
"245",2013-10-01,"6","1",22440660.66175
"246",2013-11-01,"6","1",18747030.7652967
"247",2013-12-01,"6","1",26939153.6038
"248",2014-01-01,"6","1",23435678.05516
"249",2014-02-01,"6","1",18114977.93198
"250",2014-03-01,"6","1",20350919.90346
"251",2014-04-01,"6","1",22550956.73352
"252",2014-05-01,"6","1",21626632.13574
"253",2014-06-01,"6","1",22274434.08582
"254",2014-07-01,"6","1",23560064.29918
"255",2014-08-01,"6","1",22897244.8872
"256",2014-09-01,"6","1",19817755.886052
"257",2014-10-01,"6","1",26445121.54205
"258",2014-11-01,"6","1",23981506.5997
"259",2014-12-01,"6","1",28946305.7845
"260",2015-01-01,"6","1",24608194.622225
"261",2015-02-01,"6","1",14084847.45064
"262",2015-03-01,"6","1",20584607.656425
"263",2015-04-01,"6","1",20222192.23151
"264",2015-05-01,"6","1",27371108.7685333
"265",2015-06-01,"6","1",30048638.7396
"266",2015-07-01,"6","1",31483813.5576333
"267",2015-08-01,"6","1",32151970.6209667
"268",2015-09-01,"6","1",33840968.6379333
"269",2015-10-01,"6","1",36347924.8141667
"270",2015-11-01,"6","1",33569982.8919667
"271",2015-12-01,"6","1",40777343.2088667
"272",2016-01-01,"6","1",36487235.3106333
"273",2016-02-01,"6","1",35827653.0602
"274",2016-03-01,"6","1",36707273.3285667
"275",2016-04-01,"6","1",40348196.6442667
"276",2016-05-01,"6","1",42498964.4715667
"277",2016-06-01,"6","1",44094250.6276333
"278",2016-07-01,"6","1",46242136.7879
"279",2016-08-01,"6","1",46378804.5731667
"280",2016-09-01,"6","1",46583480.8471
"281",2016-10-01,"6","1",49971497.3235
"282",2016-11-01,"6","1",48440586.4291
"283",2013-01-01,"7","1",244914.143151111
"284",2013-02-01,"7","1",267745.793105
"285",2013-03-01,"7","1",249341.802657
"286",2013-04-01,"7","1",231100.879964
"287",2013-05-01,"7","1",250783.164952
"288",2013-06-01,"7","1",200152.394525385
"289",2013-07-01,"7","1",204980.498501538
"290",2013-08-01,"7","1",221049.472716154
"291",2013-09-01,"7","1",207850.488088571
"292",2013-10-01,"7","1",204259.488992857
"293",2013-11-01,"7","1",261915.793070588
"294",2013-12-01,"7","1",250683.342999412
"295",2014-01-01,"7","1",230454.3425
"296",2014-02-01,"7","1",241598.975711875
"297",2014-03-01,"7","1",241278.681445294
"298",2014-04-01,"7","1",195739.2284785
"299",2014-05-01,"7","1",220459.990082778
"300",2014-06-01,"7","1",214419.837967778
"301",2014-07-01,"7","1",200201.035403684
"302",2014-08-01,"7","1",195030.424448
"303",2014-09-01,"7","1",209311.410553333
"304",2014-10-01,"7","1",198562.674297143
"305",2014-11-01,"7","1",214633.0270575
"306",2014-12-01,"7","1",259537.9762305
"307",2015-01-01,"7","1",207875.4216175
"308",2015-02-01,"7","1",225746.492201111
"309",2015-03-01,"7","1",236169.114017368
"310",2015-04-01,"7","1",201160.809015238
"311",2015-05-01,"7","1",235810.814518
"312",2015-06-01,"7","1",225892.4211775
"313",2015-07-01,"7","1",231416.017265455
"314",2015-08-01,"7","1",244799.851193636
"315",2015-09-01,"7","1",262415.082822
"316",2015-10-01,"7","1",262197.3970445
"317",2015-11-01,"7","1",266447.5259605
"318",2015-12-01,"7","1",295372.7597205
"319",2016-01-01,"7","1",255748.335234
"320",2016-02-01,"7","1",280057.801312917
"321",2016-03-01,"7","1",309614.18628087
"322",2016-04-01,"7","1",328476.9056575
"323",2016-05-01,"7","1",313924.509575909
"324",2016-06-01,"7","1",295048.086643636
"325",2016-07-01,"7","1",288467.084742917
"326",2016-08-01,"7","1",306547.56761125
"327",2016-09-01,"7","1",320671.98698
"328",2016-10-01,"7","1",330809.910994091
"329",2016-11-01,"7","1",333842.664777273
"330",2013-01-01,"8","1",704082.43712
"331",2013-02-01,"8","1",621783.14199
"332",2013-03-01,"8","1",615700.99079
"333",2013-04-01,"8","1",1384098.877
"334",2013-05-01,"8","1",1371027.23
"335",2013-06-01,"8","1",498384.286363333
"336",2013-07-01,"8","1",633755.936296667
"337",2013-08-01,"8","1",727709.230006667
"338",2013-09-01,"8","1",609640.22778
"339",2013-10-01,"8","1",872932.47238
"340",2013-11-01,"8","1",798766.08441
"341",2013-12-01,"8","1",1370353.3874
"342",2014-01-01,"8","1",935949.5448
"343",2014-02-01,"8","1",1606092.206
"344",2014-03-01,"8","1",1586501.478
"345",2014-04-01,"8","1",879020.33368
"346",2014-05-01,"8","1",1025691.475775
"347",2014-06-01,"8","1",959925.73145
"348",2014-07-01,"8","1",794975.40049
"349",2014-08-01,"8","1",1146488.100865
"350",2014-09-01,"8","1",954559.352015
"351",2014-10-01,"8","1",940806.749095
"352",2014-11-01,"8","1",777272.46166
"353",2014-12-01,"8","1",1268092.36514667
"354",2015-01-01,"8","1",1328254.81704
"355",2015-02-01,"8","1",1292689.67461
"356",2015-03-01,"8","1",1378779.33905
"357",2015-04-01,"8","1",1014060.76834667
"358",2015-05-01,"8","1",1143248.88387
"359",2015-06-01,"8","1",1129156.46818333
"360",2015-07-01,"8","1",1266779.27760333
"361",2015-08-01,"8","1",1820711.73255
"362",2015-09-01,"8","1",1117611.546575
"363",2015-10-01,"8","1",1027137.2097075
"364",2015-11-01,"8","1",1132374.8899975
"365",2015-12-01,"8","1",1697271.8146025
"366",2016-01-01,"8","1",1282757.76878
"367",2016-02-01,"8","1",913645.928094
"368",2016-03-01,"8","1",960512.604382
"369",2016-04-01,"8","1",926056.908728
"370",2016-05-01,"8","1",756447.165696667
"371",2016-06-01,"8","1",731180.956973333
"372",2016-07-01,"8","1",928106.940225
"373",2016-08-01,"8","1",883149.870243333
"374",2016-09-01,"8","1",905566.507548333
"375",2016-10-01,"8","1",811189.55883
"376",2016-11-01,"8","1",785821.628021667
"377",2013-01-01,"9","1",85600.49857
"378",2013-02-01,"9","1",86978.25818
"379",2013-03-01,"9","1",124336.2179
"380",2013-04-01,"9","1",111612.9242
"381",2013-05-01,"9","1",103162.778205
"382",2013-06-01,"9","1",112610.7082
"383",2013-07-01,"9","1",83181.8080433333
"384",2013-08-01,"9","1",163457.622833333
"385",2013-09-01,"9","1",204677.325685
"386",2013-10-01,"9","1",207781.48864
"387",2013-11-01,"9","1",178623.725742
"388",2013-12-01,"9","1",226217.861501667
"389",2014-01-01,"9","1",175155.92169
"390",2014-02-01,"9","1",204741.79938
"391",2014-03-01,"9","1",244416.9623
"392",2014-04-01,"9","1",198360.80176
"393",2014-05-01,"9","1",190257.184115714
"394",2014-06-01,"9","1",202058.339884286
"395",2014-07-01,"9","1",224326.717383333
"396",2014-08-01,"9","1",219381.352521429
"397",2014-09-01,"9","1",227936.661964286
"398",2014-10-01,"9","1",313728.2195
"399",2014-11-01,"9","1",279559.86828
"400",2014-12-01,"9","1",164752.749908333
"401",2015-01-01,"9","1",225551.604426
"402",2015-02-01,"9","1",223736.3538
"403",2015-03-01,"9","1",191153.240264286
"404",2015-04-01,"9","1",288648.710774286
"405",2015-05-01,"9","1",259033.16627875
"406",2015-06-01,"9","1",274467.611484286
"407",2015-07-01,"9","1",432282.834285
"408",2015-08-01,"9","1",426019.907696
"409",2015-09-01,"9","1",380819.692128333
"410",2015-10-01,"9","1",478359.43516
"411",2015-11-01,"9","1",608604.69058
"412",2015-12-01,"9","1",877767.240528889
"413",2016-01-01,"9","1",600394.170234286
"414",2016-02-01,"9","1",621027.70913875
"415",2016-03-01,"9","1",607183.3057325
"416",2016-04-01,"9","1",473584.412381818
"417",2016-05-01,"9","1",528226.10301
"418",2016-06-01,"9","1",661378.66858
"419",2016-07-01,"9","1",698068.131953636
"420",2016-08-01,"9","1",701264.602067692
"421",2016-09-01,"9","1",594297.369676923
"422",2016-10-01,"9","1",645424.552645833
"423",2016-11-01,"9","1",641105.723498462
"424",2013-01-01,"10","1",75360.970755
"425",2013-02-01,"10","1",76586.59493
"426",2013-03-01,"10","1",73336.90168
"427",2013-04-01,"10","1",79432.50505
"428",2016-02-01,"10","1",63982.14498
"429",2016-03-01,"10","1",350235.8563
"430",2016-04-01,"10","1",560966.4691
"431",2016-05-01,"10","1",605497.2953
"432",2016-06-01,"10","1",583556.8394
"433",2016-07-01,"10","1",581719.6008
"434",2016-08-01,"10","1",675335.59
"435",2016-09-01,"10","1",543218.8349
"436",2016-10-01,"10","1",458834.3794
"437",2016-11-01,"10","1",509264.5669
"438",2013-01-01,"1","2",177840.115170841
"439",2013-02-01,"1","2",184168.715111696
"440",2013-03-01,"1","2",176569.277358407
"441",2013-04-01,"1","2",175338.347774202
"442",2013-05-01,"1","2",191078.92562678
