"","industry","location","avg","c_tss","c_rss","c_mse","c_ess","c_rsq","c_cor","rsq","a_rsq","fstat","pval","rse","dec_fit","dec_lwr","dec_upr"
"11","3","1",668824.746760855,452322563888.198,438506772854.081,9329931337.32088,13815791034.117,0.030544111961507,0.174768738513234,0.0305441119615072,-0.0617850202326351,0.330817708730128,0.855678279153261,102179.437505335,697687.759534306,471110.468214358,924265.050854255
"12","3","2",581151.158652039,411746554782.145,146342625422.304,3113672881.32561,265403929359.841,0.644580813797619,0.802857903864451,0.644580813797619,0.61073136749263,19.042580726132,5.34575478960637e-09,59028.3679627056,719508.896194437,588616.731874892,850401.060513982
"13","3","3",627519.415241913,819627888653.386,654827192721.067,13932493462.1504,164800695932.319,0.201067701836109,0.448405733500487,0.201067701836109,0.124978911534786,2.64254039313612,0.0468361826385774,124864.421018222,756118.173071442,479238.176594018,1032998.16954887
"14","3","4",752337.483402164,1229511854952.11,417462177411.434,8882173987.47731,812049677540.67,0.660465105944263,0.812690042971036,0.660465105944265,0.628128449367528,20.424656592958,2.09351873574061e-09,99697.420491471,1062857.38593971,841783.83104405,1283930.94083537
"15","3","5",482413.46735172,962785264948.815,927277639001.812,19729311468.1237,35507625947.0031,0.0368801094487989,0.192041947107394,0.0368801094487989,-0.0548455944132202,0.40206951700558,0.806044586011639,148586.806358615,414189.528890483,84706.4456736775,743672.612107288
"16","3","6",357929.786362267,514880403583.436,269802528768.966,8175834205.12018,245077874814.473,0.475989905828214,0.689920217002089,0.475989905828215,0.401131320946532,6.35852129158643,0.000901991884662019,98162.1342417306,204396.07250893,-24697.0438813907,433489.188899252
"17","3","7",480893.300990871,708574761357.218,185977269442.011,3956963179.61726,522597491915.207,0.73753331393601,0.858797597770284,0.73753331393601,0.71253648669182,29.5050770536268,1.04167245552415e-11,66543.4461446791,656098.193952781,508541.756467314,803654.631438249
"18","3","8",208038.870143065,44079334707.1459,41996898953.2851,1166580526.48014,2082435753.86074,0.0472429034534215,0.217354326971933,0.0472429034534216,-0.0756934961009756,0.384287352034557,0.818160129562694,36806.7748643157,195420.886337923,110073.871186434,280767.901489411
"19","3","9",799070.106799146,4041891294326.85,3792885942623.12,80699700906.8748,249005351703.735,0.0616061476104605,0.248205857325044,0.0616061476104604,-0.0277646954742579,0.689331615145015,0.603434807461529,300510.91187791,907315.31829989,240948.874250622,1573681.76234916
"20","3","10",449115.170496856,1888631884094.26,1012327998712.46,33744266623.7488,876303885381.792,0.463988717315363,0.681167172811025,0.463988717315365,0.378226912085824,5.41020231644494,0.00280010326362897,201229.023623578,169529.143180691,-308413.695784576,647471.982145957
"21","4","1",343939.717879679,215283799304.078,48774625552.4239,1037757990.4771,166509173751.654,0.773440334525442,0.879454566493029,0.773440334525441,0.751863223527864,35.8454074140089,4.95939103559974e-13,34077.860971473,456387.772752023,380821.987488319,531953.558015726
"22","4","2",204472.834050808,19617051404.4052,11075838183.0075,235656131.553351,8541213221.39767,0.435397402255859,0.659846499010081,0.43539740225586,0.381625726280228,8.09715141579684,6.20556785128004e-05,16239.1635538518,224276.221364871,188266.767983986,260285.674745755
"23","4","3",267648.573923822,101581022731.845,46121806144.6121,981315024.353449,55459216587.2329,0.54596040771941,0.738891336882097,0.545960407719412,0.502718541787927,12.6257365624432,7.84632659087964e-07,33138.1689527105,356469.920578101,282987.850761305,429951.990394896
"24","4","4",297870.21049208,211396171850.634,64453937875.7694,1371360380.33552,146942233974.865,0.695103571121852,0.833728715543523,0.695103571121853,0.666065815990601,23.9379238505163,2.29216056351795e-10,39174.1951859984,433765.993709328,346899.367198304,520632.620220352
"25","4","5",356172.640404278,124988301711.187,74312226276.5797,1581111197.37404,50676075434.6073,0.405446547723366,0.636746847438892,0.405446547723367,0.348822409411306,7.1603128949869,0.000172341309242674,42063.5081854919,445154.605084749,351881.085668618,538428.12450088
"26","4","6",750692.306585177,1977228665735.87,1202923251385.28,25594111731.6018,774305414350.589,0.391611464960434,0.625788674362547,0.391611464960434,0.33366969971857,6.75870787377204,0.000270840273370467,169236.608908616,949340.952329961,574068.065975646,1324613.83868428
"27","4","7",442609.519292014,157816828948.805,30165375467.6647,641816499.312016,127651453481.14,0.808858309544097,0.899365503865973,0.808858309544096,0.790654339024486,44.4330707233771,1.4567970555677e-14,26799.6870396016,514954.164782097,455527.330519692,574380.999044501
"28","4","8",197674.217858795,32210480478.8348,14763928089.2077,314126129.55761,17446552389.6271,0.54164210313755,0.735963384372858,0.541642103137551,0.497988970103032,12.4078632044404,9.50224410723269e-07,18748.9225653659,249185.40262577,207610.696464305,290760.108787235
"29","4","9",202254.53454577,26959114523.7035,17089237009.0999,363600787.427658,9869877514.6035,0.366105404015608,0.605066445950863,0.366105404015609,0.305734490112333,6.06426804474374,0.000604349992128028,20171.4301787147,240094.853577486,195365.814902714,284823.892252258
"30","4","10",274803.711315061,41169959625.2758,37968911359.0199,807849177.851487,3201048266.25587,0.0777520380246045,0.278840524358646,0.0777520380246045,-0.0100811012111475,0.885224400506864,0.481081292467639,30066.9536039866,292846.373272871,226174.554831141,359518.191714601
"31","5","1",643749.943657274,201899138275.341,179628212180.837,3821876854.91142,22270926094.5041,0.110307187463733,0.332125258695771,0.110307187463733,0.0255745386507545,1.30182626188405,0.284914991147151,65397.7231620629,632389.546072663,487373.686381926,777405.405763399
"32","5","2",383087.164592953,123844317648.693,42070322579.1021,895113246.363874,81773995069.5915,0.660296706559909,0.812586430209063,0.660296706559908,0.627944011946566,20.4093264703709,2.11492892750725e-09,31649.2392818766,417352.467669139,347172.01763045,487532.917707828
"33","5","3",309718.706061482,115558027436.848,112012083065.224,2604932164.30754,3545944371.62389,0.0306854006621196,0.175172488314004,0.0306854006621197,-0.0713477150576571,0.30073962208891,0.875623569151341,54292.5998314067,303281.273454103,181942.442562699,424620.104345507
"34","5","4",462651.389703863,382131563657.601,150823705409.561,3209015008.71407,231307858248.039,0.605309480415748,0.778016375416191,0.605309480415747,0.567719907122008,16.1031218866371,4.55486521829899e-08,59925.2918640332,332769.846544179,199888.802729458,465650.8903589
"35","5","5",223729.275406504,297701864012.72,245979421904.137,5347378737.04645,51722442108.5835,0.173739060318324,0.416820177436654,0.173739060318324,0.0931282369347458,2.15528204558344,0.0912063536494211,77456.4270749875,247716.401333931,75786.5668565653,419646.235811297
"36","5","6",581729.761050792,372422349354.337,307160042536.442,6535320053.96685,65262306817.8955,0.17523735331953,0.418613608617219,0.175237353319529,0.0966885298261509,2.23093543004246,0.0818753299651324,85518.035209573,557322.139408369,367690.592691572,746953.686125166
"37","5","7",346660.546486348,76979464127.993,48476794283.9506,1031421154.97767,28502669844.0424,0.370263292514629,0.608492639655262,0.370263292514628,0.310288367992212,6.17363498934022,0.000531633702754091,33973.657261371,318976.242080497,243641.522821431,394310.961339563
"38","5","8",503605.000382161,125578239739.968,71746895518.2987,1526529691.8787,53831344221.6697,0.428667771845957,0.654727249964409,0.428667771845958,0.37425517868843,7.8780985608412,7.84785619159961e-05,41331.095038752,417117.923510175,325468.490025294,508767.356995055
"39","5","9",596629.609832726,263014574728.343,112810043021.89,2400213681.3168,150204531706.453,0.571088244298224,0.755703807254022,0.571088244298223,0.530239505659959,13.9805600695652,2.47418102335266e-07,51826.1845526283,477719.244300384,362797.5261732,592640.962427567
"40","5","10",550299.304874326,425583681706.773,398126220171.183,8470770641.94007,27457461535.5904,0.0645171859632262,0.254002334562551,0.0645171859632261,-0.0245764153736097,0.724150612335295,0.580386551901919,97361.1612418499,526725.764840579,310832.73653152,742618.793149638
"41","6","1",28996505.425443,4196652221991142,1152655149329967,24524577645318.4,3043997072661179,0.725339368535267,0.851668579046607,0.725339368535266,0.699181213157672,27.7289953387375,2.66133853936795e-11,5238718.37591429,41713965.7029673,30097395.3970218,53330536.0089129
"42","7","1",248393.991771567,75417565516.3142,37820945948.3018,804700977.623442,37596619568.0125,0.498512771005313,0.706054368306939,0.498512771005312,0.450752082529628,10.4377216266284,5.82068644975777e-06,30008.3107331086,306611.604829586,240069.82373356,373153.385925612
"43","7","2",258415.155967991,72833866877.1205,37203995756.8284,791574377.804859,35629871120.2922,0.489193731542553,0.69942385685831,0.489193731542553,0.440545515498987,10.0557383461803,8.42214514896645e-06,29762.5506766747,313059.849927301,247063.028260108,379056.671594493
"44","7","3",406371.378362103,449928859565.133,251523105361.01,5351555433.21298,198405754204.123,0.440971389112241,0.664056766483288,0.44097138911224,0.387730569027691,8.28258070427839,5.0965818385886e-05,77386.3383662668,299494.999341356,127895.043809381,471094.95487333
"45","7","4",431243.270033702,148152593230.268,127412162844.871,2710897081.80577,20740430385.3967,0.139993704687711,0.37415732611792,0.139993704687711,0.0580883432293983,1.70921295254845,0.165964761514222,55078.3344417556,419566.166963161,297432.98505388,541699.348872443
"46","7","5",428476.754190214,158217478553.89,85228633325.7555,1813375177.14373,72988845228.1345,0.461319734679466,0.679205222800491,0.461319734679465,0.410016852267985,8.99208217930928,2.43689722595252e-05,45047.232705492,343668.126311642,243778.361628441,443557.890994843
"47","7","6",200441.346970997,54422320162.5665,49192292849.6274,1046644528.71548,5230027312.93908,0.0961007780873052,0.310001254976984,0.0961007780873054,0.010015137905144,1.11633923943589,0.361623162647149,34223.4578593144,194091.578865661,118202.940498857,269980.217232466
"48","7","7",281201.461270975,33664093163.4502,17028117132.534,362300364.522,16635976030.9161,0.494175677037936,0.702976299058465,0.494175677037935,0.446001931993929,10.2581951348501,6.91907365513703e-06,20135.3261780988,235880.842735239,191231.862699123,280529.822771355
"49","7","8",276742.834331418,57850538509.1553,52152468386.1851,1109626986.94011,5698070122.97018,0.0984964059075858,0.313841370611947,0.0984964059075855,0.0126389207559269,1.14720814071833,0.347721990924684,35238.1247765302,283379.71506405,205241.108530385,361518.321597715
"50","7","9",570988.610865234,607046270557.037,517823135293.557,11017513516.8842,89223135263.4796,0.146979134196157,0.383378578165445,0.146979134196158,0.0657390517386489,1.80919479338334,0.145047690988502,111036.580769106,658414.048503889,412196.528400795,904631.568606983
"51","7","10",388964.508145277,215409338447.784,168248070488.96,3579746180.61618,47161267958.8237,0.218937898879698,0.467908002581381,0.218937898879698,0.144551032106335,2.94323323963551,0.0312180787932878,63292.2304885311,417408.673113714,277061.627800018,557755.71842741
"52","8","1",1028002.59064195,4328188103975.77,3555552747929.55,75650058466.5862,772635356046.223,0.178512425404177,0.422507308107419,0.178512425404177,0.100275513537909,2.28169058754914,0.0764189882311959,290957.072104884,1348876.57620176,703695.247184705,1994057.90521882
